rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
164,frame_0171.jpg,68.4,0.4017,0.4774,0.25,0.44,5,2,False,False
165,frame_0120.jpg,48.0,0.398,0.438,0.25,0.52,4,2,False,False
166,frame_0396.jpg,158.4,0.3971,0.5801,0.25,0.16,7,2,False,False
167,frame_0112.jpg,44.8,0.3969,0.6387,0.125,0.2,4,1,False,False
168,frame_0313.jpg,125.2,0.3966,0.6271,0.25,0.04,2,2,False,False
169,frame_0233.jpg,93.2,0.3924,0.4638,0.375,0.24,6,3,False,False
170,frame_0186.jpg,74.4,0.3901,0.5393,0.375,0.04,11,3,False,False
171,frame_0203.jpg,81.2,0.3896,0.4482,0.125,0.64,4,1,False,False
172,frame_0007.jpg,2.8,0.3888,0.3026,0.125,1.0,4,1,False,False
173,frame_0180.jpg,72.0,0.3872,0.5174,0.375,0.08,5,3,False,False
174,frame_0086.jpg,34.4,0.3861,0.4143,0.25,0.52,4,2,False,False
175,frame_0315.jpg,126.0,0.3828,0.5675,0.25,0.12,7,2,False,False
176,frame_0199.jpg,79.6,0.3825,0.498,0.125,0.48,1,1,False,False
177,frame_0026.jpg,10.4,0.3756,0.3512,0.0,1.0,3,0,False,False
178,frame_0179.jpg,71.6,0.375,0.4769,0.375,0.12,5,3,False,False
179,frame_0220.jpg,88.0,0.3725,0.4829,0.25,0.28,3,2,False,False
180,frame_0322.jpg,128.8,0.3692,0.4494,0.375,0.16,6,3,False,False
181,frame_0082.jpg,32.8,0.3688,0.3155,0.25,0.68,6,2,False,False
182,frame_0275.jpg,110.0,0.3688,0.5076,0.25,0.2,6,2,False,False
183,frame_0311.jpg,124.4,0.3688,0.4965,0.375,0.04,4,3,False,False
184,frame_0013.jpg,5.2,0.3663,0.3326,0.0,1.0,4,0,False,False
185,frame_0084.jpg,33.6,0.3614,0.3327,0.25,0.6,3,2,False,False
186,frame_0111.jpg,44.4,0.3596,0.4301,0.375,0.16,5,3,False,False
187,frame_0211.jpg,84.4,0.3596,0.3132,0.25,0.64,3,2,False,False
188,frame_0267.jpg,106.8,0.3587,0.5194,0.25,0.12,3,2,False,False
189,frame_0373.jpg,149.2,0.3571,0.5002,0.25,0.16,7,2,False,False
190,frame_0080.jpg,32.0,0.3564,0.2587,0.25,0.76,8,2,False,False
191,frame_0274.jpg,109.6,0.3554,0.4968,0.25,0.16,5,2,False,False
192,frame_0226.jpg,90.4,0.3551,0.3942,0.5,0.04,5,4,False,False
193,frame_0206.jpg,82.4,0.3511,0.3232,0.125,0.76,3,1,False,False
194,frame_0091.jpg,36.4,0.3444,0.4108,0.25,0.32,3,2,False,False
195,frame_0207.jpg,82.8,0.343,0.291,0.125,0.8,3,1,False,False
196,frame_0328.jpg,131.2,0.3425,0.4279,0.375,0.08,7,3,False,False
197,frame_0176.jpg,70.4,0.3392,0.5074,0.125,0.24,5,1,False,False
198,frame_0215.jpg,86.0,0.337,0.3321,0.25,0.48,4,2,False,False
199,frame_0282.jpg,112.8,0.3357,0.4044,0.125,0.48,5,1,False,False
200,frame_0272.jpg,108.8,0.3346,0.4871,0.25,0.08,4,2,False,False
201,frame_0193.jpg,77.2,0.3338,0.3466,0.375,0.24,5,3,False,False
202,frame_0399.jpg,159.6,0.3332,0.4045,0.25,0.28,8,2,False,False
203,frame_0191.jpg,76.4,0.3307,0.5975,0.0,0.16,5,0,False,False
204,frame_0172.jpg,68.8,0.3305,0.351,0.25,0.4,5,2,False,False
205,frame_0321.jpg,128.4,0.3281,0.3511,0.375,0.2,6,3,False,False
206,frame_0225.jpg,90.0,0.324,0.466,0.25,0.08,6,2,False,False
207,frame_0323.jpg,129.2,0.3213,0.5196,0.125,0.12,4,1,False,False
208,frame_0096.jpg,38.4,0.3197,0.5913,0.0,0.12,7,0,False,False
209,frame_0218.jpg,87.2,0.3192,0.4195,0.125,0.36,3,1,False,False
210,frame_0271.jpg,108.4,0.3158,0.5406,0.125,0.04,4,1,False,False
211,frame_0205.jpg,82.0,0.3143,0.2656,0.125,0.72,2,1,False,False
212,frame_0117.jpg,46.8,0.3125,0.39,0.125,0.4,4,1,False,False
213,frame_0109.jpg,43.6,0.3099,0.4378,0.25,0.08,6,2,False,False
214,frame_0189.jpg,75.6,0.3093,0.5116,0.125,0.08,4,1,False,False
215,frame_0273.jpg,109.2,0.3093,0.4206,0.25,0.12,4,2,False,False
216,frame_0222.jpg,88.8,0.3078,0.3856,0.25,0.2,6,2,False,False
217,frame_0394.jpg,157.6,0.3051,0.4282,0.25,0.08,4,2,False,False
218,frame_0104.jpg,41.6,0.3042,0.4103,0.25,0.12,3,2,False,False
219,frame_0198.jpg,79.2,0.3023,0.3535,0.125,0.44,2,1,False,False
220,frame_0314.jpg,125.6,0.2994,0.4919,0.125,0.08,5,1,False,False
